state,race_ethnicity,total_exits,dismissed,moved_out,not_determined,not_eligible,part_b_eligible,withdrawn
Alabama,American Indian or Alaska Native,32,2,2,0,7,12,9
Alabama,Asian,435,28,38,32,71,158,106
Alabama,Black or African American,9530,1793,232,782,1410,3135,2121
Alabama,Hispanic or Latino,1836,237,74,122,264,651,471
Alabama,MU_N,1279,132,60,71,201,463,342
Alabama,Native Hawaiian or Other Pacific Islander,24,4,2,0,3,9,6
Alabama,White,17225,1223,623,954,3033,6135,5191
Alaska,American Indian or Alaska Native,2151,356,64,181,409,801,324
Alaska,Asian,253,26,17,26,30,96,58
Alaska,Black or African American,223,19,25,25,26,100,28
Alaska,Hispanic or Latino,593,63,84,28,82,271,65
Alaska,MU_N,878,110,70,65,165,334,132
Alaska,Native Hawaiian or Other Pacific Islander,134,29,8,9,10,54,24
Alaska,White,3699,332,432,241,696,1418,572
American Samoa,American Indian or Alaska Native,0,0,0,0,0,0,0
American Samoa,Asian,0,0,0,0,0,0,0
American Samoa,Black or African American,0,0,0,0,0,0,0
American Samoa,Hispanic or Latino,0,0,0,0,0,0,0
American Samoa,MU_N,25,3,2,2,10,6,2
American Samoa,Native Hawaiian or Other Pacific Islander,216,22,15,8,76,74,19
American Samoa,White,0,0,0,0,0,0,0
Arizona,American Indian or Alaska Native,2256,335,61,251,306,1010,267
Arizona,Asian,1019,53,83,93,126,499,161
Arizona,Black or African American,2095,242,113,223,240,938,325
Arizona,Hispanic or Latino,15023,1558,392,1761,1725,7360,2151
Arizona,MU_N,1428,132,81,121,187,696,207
Arizona,Native Hawaiian or Other Pacific Islander,149,20,8,17,15,67,18
Arizona,White,23098,1998,1215,2301,2980,10561,3897
Arkansas,American Indian or Alaska Native,32,1,0,1,11,5,14
Arkansas,Asian,137,4,11,9,35,46,32
Arkansas,Black or African American,2661,146,50,314,608,494,1046
Arkansas,Hispanic or Latino,982,51,23,99,195,278,333
Arkansas,MU_N,470,36,12,46,118,129,127
Arkansas,Native Hawaiian or Other Pacific Islander,30,1,1,2,5,8,13
Arkansas,White,6882,259,160,668,1905,2066,1812
California,American Indian or Alaska Native,1053,68,30,226,234,404,85
California,Asian,36236,1572,730,9749,7902,13185,3017
California,Black or African American,20242,1745,517,5791,4066,6696,1340
California,Hispanic or Latino,212369,13135,2337,62605,45892,74063,13799
California,MU_N,12332,401,212,2712,2744,5267,979
California,Native Hawaiian or Other Pacific Islander,1011,78,24,260,243,317,85
California,White,88139,4527,2879,23710,19698,30185,6918
Colorado,American Indian or Alaska Native,260,25,27,41,31,92,41
Colorado,Asian,1824,78,158,217,334,723,295
Colorado,Black or African American,2660,284,189,411,334,1039,379
Colorado,Hispanic or Latino,18520,1620,726,2750,2579,7767,2955
Colorado,MU_N,1938,112,152,244,340,729,348
Colorado,Native Hawaiian or Other Pacific Islander,121,6,14,15,14,55,17
Colorado,White,36029,1367,2432,4694,7695,13073,6556
Connecticut,American Indian or Alaska Native,77,7,5,5,16,34,9
Connecticut,Asian,1781,98,161,138,256,789,334
Connecticut,Black or African American,5303,693,212,560,813,2305,651
Connecticut,Hispanic or Latino,15792,1827,622,1647,2822,6791,1961
Connecticut,MU_N,1112,91,32,100,165,488,198
Connecticut,Native Hawaiian or Other Pacific Islander,182,6,19,10,30,90,26
Connecticut,White,22867,1148,865,1664,4743,10290,3959
Delaware,American Indian or Alaska Native,22,2,1,0,3,16,0
Delaware,Asian,330,24,43,15,48,159,39
Delaware,Black or African American,2496,376,129,177,343,1220,232
Delaware,Hispanic or Latino,1675,187,66,99,261,899,159
Delaware,MU_N,455,53,33,31,68,226,42
Delaware,Native Hawaiian or Other Pacific Islander,13,0,0,2,3,5,3
Delaware,White,4624,372,214,213,1054,2241,522
District of Columbia,American Indian or Alaska Native,5,0,1,0,3,0,0
District of Columbia,Asian,70,4,14,5,23,6,7
District of Columbia,Black or African American,3807,728,197,209,751,686,507
District of Columbia,Hispanic or Latino,1240,79,116,48,276,274,153
District of Columbia,MU_N,508,30,73,19,195,69,72
District of Columbia,Native Hawaiian or Other Pacific Islander,8,0,3,1,1,1,1
District of Columbia,White,1582,59,262,22,690,70,330
Florida,American Indian or Alaska Native,284,24,15,76,32,119,16
Florida,Asian,2721,172,188,725,238,1144,250
Florida,Black or African American,27855,4172,721,7871,2672,9955,2358
Florida,Hispanic or Latino,51680,3608,1594,15608,5768,21097,3915
Florida,MU_N,4586,484,207,1004,542,1919,423
Florida,Native Hawaiian or Other Pacific Islander,262,14,6,41,136,55,10
Florida,White,47186,3999,2120,9771,6820,19732,4605
Georgia,American Indian or Alaska Native,67,9,0,16,6,35,1
Georgia,Asian,1742,186,78,326,158,850,134
Georgia,Black or African American,19709,3591,468,4310,1951,8241,1056
Georgia,Hispanic or Latino,5353,671,121,1092,556,2684,216
Georgia,MU_N,4153,513,176,559,422,2033,421
Georgia,Native Hawaiian or Other Pacific Islander,69,15,3,8,7,33,3
Georgia,White,24910,3073,882,4174,2885,11786,2030
Guam,American Indian or Alaska Native,0,0,0,0,0,0,0
Guam,Asian,85,2,11,5,24,34,7
Guam,Black or African American,0,0,0,0,0,0,0
Guam,Hispanic or Latino,0,0,0,0,0,0,0
Guam,MU_N,221,11,24,12,57,94,21
Guam,Native Hawaiian or Other Pacific Islander,665,86,40,24,207,228,71
Guam,White,7,0,1,0,2,2,2
Hawaii,American Indian or Alaska Native,17,1,2,1,0,12,1
Hawaii,Asian,4109,204,115,936,852,1158,838
Hawaii,Black or African American,174,8,43,26,10,54,33
Hawaii,Hispanic or Latino,1997,122,325,299,276,648,322
Hawaii,MU_N,5021,436,275,892,865,1535,1009
Hawaii,Native Hawaiian or Other Pacific Islander,1503,254,65,241,251,417,268
Hawaii,White,2557,80,583,343,353,669,523
Idaho,American Indian or Alaska Native,232,36,17,27,46,75,31
Idaho,Asian,176,11,23,26,35,54,27
Idaho,Black or African American,155,26,9,22,21,52,25
Idaho,Hispanic or Latino,2459,417,88,339,472,715,423
Idaho,MU_N,844,110,71,100,140,243,180
Idaho,Native Hawaiian or Other Pacific Islander,43,7,8,5,7,9,7
Idaho,White,13460,1215,837,1780,2810,3997,2777
Illinois,American Indian or Alaska Native,95,6,11,7,20,41,10
Illinois,Asian,6144,283,332,616,1238,2836,824
Illinois,Black or African American,23999,3563,834,5510,3336,8807,1825
Illinois,Hispanic or Latino,48021,3724,785,8658,9354,21467,3938
Illinois,MU_N,4480,440,135,381,1007,2166,335
Illinois,Native Hawaiian or Other Pacific Islander,65,2,4,8,11,33,7
