"state","race_ethnicity","category","a","b","c","d","or","log_or","se_log_or","ci_low","ci_high","flag_zero_cell","flag_small_cell_5"
"Alabama","American Indian or Alaska Native","dismissed",2,30,3417,26912,0.525060969661496,-0.644240890444827,0.730522515637664,0.125422778431516,2.19807777589941,FALSE,TRUE
"Alabama","Asian","dismissed",28,407,3391,26535,0.538337860661659,-0.619268922131034,0.196224036515366,0.366459219598226,0.790831930874893,FALSE,FALSE
"Alabama","Black or African American","dismissed",1793,7737,1626,19205,2.73716805605435,1.00692382972793,0.0367974111943644,2.54670636766733,2.94187388942949,FALSE,FALSE
"Alabama","Hispanic or Latino","dismissed",237,1599,3182,25343,1.18047754548038,0.165919056168439,0.072100808149083,1.024906585353,1.35966268077341,FALSE,FALSE
"Alabama","MU_N","dismissed",132,1147,3287,25795,0.90312183288424,-0.101897814528469,0.093758163059349,0.751515222285901,1.08531273997521,FALSE,FALSE
"Alabama","Native Hawaiian or Other Pacific Islander","dismissed",4,20,3415,26922,1.57669106881406,0.455328390765048,0.548023694845017,0.538591408037734,4.61565982928536,FALSE,TRUE
"Alabama","White","dismissed",1223,16002,2196,10940,0.38074760236027,-0.965618584376346,0.0377747900200438,0.353575876605421,0.41000743063949,FALSE,FALSE
"Alabama","American Indian or Alaska Native","moved_out",2,30,1029,29300,1.89828312277292,0.640949858068899,0.730985143709853,0.453037206371058,7.95404607729523,FALSE,TRUE
"Alabama","Asian","moved_out",38,397,993,28933,2.7889280378265,1.02565730617066,0.172847600842268,1.98749690143718,3.91352539697058,FALSE,FALSE
"Alabama","Black or African American","moved_out",232,9298,799,20032,0.625570089090175,-0.46909190245067,0.0756265788047178,0.539388063948283,0.725522054566287,FALSE,FALSE
"Alabama","Hispanic or Latino","moved_out",74,1762,957,27568,1.20981548231147,0.190467854022802,0.123135114502838,0.950395590126665,1.54004660422032,FALSE,FALSE
"Alabama","MU_N","moved_out",60,1219,971,28111,1.42496635404584,0.354148202245961,0.136207380827603,1.09109495274122,1.86100128596624,FALSE,FALSE
"Alabama","Native Hawaiian or Other Pacific Islander","moved_out",2,22,1029,29308,2.58927467090732,0.951377786647434,0.739229655201672,0.60804138156481,11.0261300047514,FALSE,TRUE
"Alabama","White","moved_out",623,16602,408,12728,1.17065153973889,0.157560465385933,0.0647681825788585,1.03108828057329,1.32910542512527,FALSE,FALSE
"Alabama","American Indian or Alaska Native","not_determined",0,32,1961,28368,0.222502402007883,-1.50281738189307,1.42524183739212,0.0136189730236979,3.63517269717263,TRUE,TRUE
"Alabama","Asian","not_determined",32,403,1929,27997,1.15245559804833,0.141894968507307,0.185163471042752,0.801696289097019,1.65667962236534,FALSE,FALSE
"Alabama","Black or African American","not_determined",782,8748,1179,19652,1.49001599008405,0.398786851499821,0.0478763621005666,1.35655606349375,1.63660589521695,FALSE,FALSE
"Alabama","Hispanic or Latino","not_determined",122,1714,1839,26686,1.03288213433433,0.0323530832735764,0.0967543203455915,0.854460174240615,1.24856082891773,FALSE,FALSE
"Alabama","MU_N","not_determined",71,1208,1890,27192,0.845611268790077,-0.167695518131181,0.124411404875529,0.662627775070663,1.07912533221009,FALSE,FALSE
