sheet,source_file,year_code,state,exiting_total2,attempts_to_contact_unsuccessful,complete_prior_to_reaching_max_age_for_part_c,deceased,moved_out_of_state,not_eligible_for_part_b_exit_with_no_referrals,not_eligible_for_part_b_exit_with_referrals_to_other_programs,part_b_eligibility_not_determined,part_b_eligible_continuing_in_part_c,part_b_eligible_exiting_part_c,withdrawal_by_parent
AM_N,1314-cexiting-2.xlsx,1314,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM_N,1314-cexiting-2.xlsx,1314,Alaska,256,46,39,4,5,16,12,17,0,86,31
AM_N,1314-cexiting-2.xlsx,1314,American Samoa,0,0,0,0,0,0,0,0,0,0,0
AM_N,1314-cexiting-2.xlsx,1314,Arizona,227,36,16,5,9,4,11,20,NA,115,11
AM_N,1314-cexiting-2.xlsx,1314,Arkansas,13,0,2,0,0,0,1,0,0,0,10
AM_N,1314-cexiting-2.xlsx,1314,California,144,4,6,0,2,0,19,30,NA,76,7
AM_N,1314-cexiting-2.xlsx,1314,Colorado,28,1,3,0,0,1,3,5,NA,10,5
AM_N,1314-cexiting-2.xlsx,1314,Connecticut,10,1,1,0,1,0,0,0,NA,7,0
AM_N,1314-cexiting-2.xlsx,1314,Delaware,0,0,0,0,0,0,0,0,NA,0,0
AM_N,1314-cexiting-2.xlsx,1314,District of Columbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM_N,1314-cexiting-2.xlsx,1314,Florida,39,2,8,0,0,1,0,6,NA,20,2
AM_N,1314-cexiting-2.xlsx,1314,Georgia,7,1,0,0,0,0,0,1,0,4,1
AM_N,1314-cexiting-2.xlsx,1314,Guam,0,0,0,0,0,0,0,0,NA,0,0
AM_N,1314-cexiting-2.xlsx,1314,Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM_N,1314-cexiting-2.xlsx,1314,Idaho,20,5,3,0,1,1,1,2,NA,6,1
AM_N,1314-cexiting-2.xlsx,1314,Illinois,6,0,1,0,0,0,0,0,0,2,3
AM_N,1314-cexiting-2.xlsx,1314,Indiana,8,0,3,0,0,0,0,1,NA,3,1
AM_N,1314-cexiting-2.xlsx,1314,Iowa,12,1,1,0,1,0,1,0,NA,5,3
AM_N,1314-cexiting-2.xlsx,1314,Kansas,16,2,1,0,2,0,4,0,NA,6,1
AM_N,1314-cexiting-2.xlsx,1314,Kentucky,7,0,0,0,0,1,0,0,0,6,0
AM_N,1314-cexiting-2.xlsx,1314,Louisiana,7,0,3,0,1,0,0,1,0,1,1
AM_N,1314-cexiting-2.xlsx,1314,Maine,8,1,1,1,0,0,0,2,NA,2,1
AM_N,1314-cexiting-2.xlsx,1314,Maryland,13,1,3,0,0,0,1,0,5,1,2
AM_N,1314-cexiting-2.xlsx,1314,Massachusetts,24,6,5,0,4,0,0,0,NA,5,4
AM_N,1314-cexiting-2.xlsx,1314,Michigan,57,3,12,0,6,5,1,0,NA,22,8
AM_N,1314-cexiting-2.xlsx,1314,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM_N,1314-cexiting-2.xlsx,1314,Mississippi,5,2,0,0,0,0,0,1,0,0,2
AM_N,1314-cexiting-2.xlsx,1314,Missouri,6,0,0,0,1,0,0,0,NA,3,2
AM_N,1314-cexiting-2.xlsx,1314,Montana,108,21,19,0,10,1,6,9,NA,26,16
AM_N,1314-cexiting-2.xlsx,1314,Nebraska,10,0,0,0,0,0,0,0,8,0,2
AM_N,1314-cexiting-2.xlsx,1314,Nevada,12,1,1,0,0,0,0,2,0,8,0
AM_N,1314-cexiting-2.xlsx,1314,New Hampshire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM_N,1314-cexiting-2.xlsx,1314,New Jersey,9,2,1,0,0,0,0,3,NA,2,1
AM_N,1314-cexiting-2.xlsx,1314,New Mexico,429,65,37,1,24,26,44,27,NA,155,50
AM_N,1314-cexiting-2.xlsx,1314,New York,64,3,3,0,1,0,0,20,25,11,1
AM_N,1314-cexiting-2.xlsx,1314,North Carolina,63,4,5,0,0,7,5,8,0,29,5
AM_N,1314-cexiting-2.xlsx,1314,North Dakota,75,13,0,0,10,1,11,6,0,28,6
AM_N,1314-cexiting-2.xlsx,1314,Northern Marianas,0,0,0,0,0,0,0,0,0,0,0
AM_N,1314-cexiting-2.xlsx,1314,Ohio,28,3,4,0,0,3,4,1,NA,10,3
AM_N,1314-cexiting-2.xlsx,1314,Oklahoma,111,25,13,2,2,2,2,18,NA,31,16
AM_N,1314-cexiting-2.xlsx,1314,Oregon,30,5,5,0,2,2,0,0,NA,13,3
AM_N,1314-cexiting-2.xlsx,1314,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM_N,1314-cexiting-2.xlsx,1314,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0
AM_N,1314-cexiting-2.xlsx,1314,Rhode Island,7,3,1,0,0,0,1,1,0,1,0
AM_N,1314-cexiting-2.xlsx,1314,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM_N,1314-cexiting-2.xlsx,1314,South Dakota,146,15,8,2,9,2,15,5,0,77,13
AM_N,1314-cexiting-2.xlsx,1314,Tennessee,12,1,0,0,2,1,0,2,0,5,1
AM_N,1314-cexiting-2.xlsx,1314,Texas,28,1,2,0,2,0,0,2,NA,14,7
AM_N,1314-cexiting-2.xlsx,1314,Utah,46,3,3,0,3,1,1,7,NA,22,6
AM_N,1314-cexiting-2.xlsx,1314,Vermont,0,0,0,0,0,0,0,0,NA,0,0
AM_N,1314-cexiting-2.xlsx,1314,Virgin Islands,0,0,0,0,0,0,0,0,0,0,0
AM_N,1314-cexiting-2.xlsx,1314,Virginia,9,0,1,0,1,0,0,1,NA,3,3
AM_N,1314-cexiting-2.xlsx,1314,Washington,109,13,9,0,4,7,13,7,NA,42,14
AM_N,1314-cexiting-2.xlsx,1314,West Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM_N,1314-cexiting-2.xlsx,1314,Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM_N,1314-cexiting-2.xlsx,1314,Wyoming,38,6,6,0,4,3,3,0,NA,14,2
AM_N,1314-cexiting-2.xlsx,1314,US and Outlying Areas,2422,312,244,17,115,92,168,218,38,945,273
AS_N,1314-cexiting-2.xlsx,1314,Alabama,33,1,2,0,6,0,0,3,NA,12,9
AS_N,1314-cexiting-2.xlsx,1314,Alaska,18,2,0,0,0,2,0,2,0,10,2
AS_N,1314-cexiting-2.xlsx,1314,American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS_N,1314-cexiting-2.xlsx,1314,Arizona,71,5,4,0,10,2,4,11,NA,27,8
AS_N,1314-cexiting-2.xlsx,1314,Arkansas,23,2,4,0,1,0,1,2,0,5,8
AS_N,1314-cexiting-2.xlsx,1314,California,4642,120,314,18,63,0,861,743,NA,2154,369
AS_N,1314-cexiting-2.xlsx,1314,Colorado,172,8,22,0,13,8,16,18,NA,69,18
AS_N,1314-cexiting-2.xlsx,1314,Connecticut,157,12,13,1,16,4,7,11,NA,69,24
AS_N,1314-cexiting-2.xlsx,1314,Delaware,18,2,2,0,4,1,0,0,NA,6,3
AS_N,1314-cexiting-2.xlsx,1314,District of Columbia,12,0,3,0,2,0,1,3,0,3,0
AS_N,1314-cexiting-2.xlsx,1314,Florida,248,18,21,0,18,3,3,50,NA,109,26
AS_N,1314-cexiting-2.xlsx,1314,Georgia,192,24,0,3,16,8,14,15,0,88,24
AS_N,1314-cexiting-2.xlsx,1314,Guam,21,0,7,1,2,0,0,1,NA,9,1
AS_N,1314-cexiting-2.xlsx,1314,Hawaii,498,31,79,1,19,31,35,81,NA,150,71
AS_N,1314-cexiting-2.xlsx,1314,Idaho,21,3,6,0,1,1,2,0,NA,6,2
AS_N,1314-cexiting-2.xlsx,1314,Illinois,670,25,103,1,43,3,41,53,0,286,115
AS_N,1314-cexiting-2.xlsx,1314,Indiana,124,1,21,1,14,8,5,13,NA,34,27
AS_N,1314-cexiting-2.xlsx,1314,Iowa,79,6,2,2,9,2,16,0,NA,24,18
AS_N,1314-cexiting-2.xlsx,1314,Kansas,85,3,17,1,9,3,2,2,NA,42,6
