Category A,,Category B,,Category C,
New Mexico,10.02,Massachusetts,10.82,Connecticut,6.51
Vermont,6.96,West Virginia,8.55,New Jersey,5.92
Pennsylvania,6.61,,,South Carolina,4.93
,,New Hampshire,6.59,Missouri,4.21
Kansas,5.38,Wyoming,6.39,Louisiana,3.90
District of Columbia,5.21,Indiana,6.24,Maine,3.77
Delaware,5.14,North Dakota,6.20,Nevada,3.70
Colorado,5.04,Rhode Island,6.18,Oregon,3.53
Washington,4.81,New York,5.19,Idaho,3.41
Maryland,4.66,California,4.97,,
Virginia,4.35,Illinois,4.44,Alaska,3.39
Michigan,4.26,Tennessee,3.93,Kentucky,2.98
Hawaii,3.59,Puerto Rico,3.89,,
Wisconsin,3.59,Utah,3.86,Florida,2.69
Iowa,2.79,Ohio,3.64,Arizona,2.54
Texas,2.76,South Dakota,3.61,Georgia,2.34
Alabama,2.60,,,,
,,Minnesota,3.33,Montana,2.20
Arkansas,1.58,Nebraska,3.21,Oklahoma,1.88
,,,,,
,,North Carolina,2.87,,
,,Mississippi,1.86,,
